0,0,1,10,2,4,4,4,7,9,11,9,18,9,12,12,18,24,30,28
0,0,0,0,0,0,0,0,0,1,2,3,3,16,18,20,20,27,30,40
3,4,1,2,1,1,1,1,1,0,4,2,7,4,4,3,6,4,10,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,8
5,4,5,4,10,7,17,16,16,17,33,38,31,50,49,47,56,63,66,84
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,5,2,5,3
0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,8,17,18,18,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,1,0,5,2,4,12,18,26
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
