21,23,34,34,21,22,31,22,38,27,27,21,23,28,25,26,18,33,29,30,37,33,34,34,21
26,31,28,27,22,26,26,33,20,18,23,31,39,31,28,23,24,26,29,23,31,34,25,26,27
30,33,24,28,35,25,29,27,25,30,22,29,18,28,30,26,22,35,27,25,26,29,30,22,22
26,24,36,25,24,28,23,18,29,14,26,17,34,34,21,33,35,23,20,28,39,20,31,25,35
22,39,26,32,22,26,26,27,26,19,24,27,30,22,28,24,30,26,27,23,31,25,26,27,30
29,25,30,21,28,18,29,22,23,28,29,39,30,31,29,18,34,31,22,21,22,17,30,35,20
18,19,23,30,24,25,24,30,22,30,41,20,25,27,25,25,21,25,27,29,37,26,28,39,18
33,25,22,19,33,20,24,34,25,18,14,25,25,34,25,30,29,26,34,31,27,28,31,22,22
21,15,29,38,24,29,14,25,26,25,22,24,27,23,25,26,32,41,18,26,37,32,24,31,21
33,27,18,31,24,23,25,31,34,32,21,20,26,30,26,22,25,29,20,19,33,24,27,28,25
23,19,21,28,25,27,27,27,26,30,37,23,25,30,24,23,26,22,35,28,38,18,28,16,26
26,28,31,27,25,21,29,24,27,30,24,29,26,25,13,26,34,31,27,19,23,34,16,22,33
24,29,14,25,23,30,23,34,26,26,22,20,33,23,27,14,34,23,33,24,24,19,27,41,32
20,26,28,28,26,25,36,22,18,23,26,25,24,20,29,32,27,28,32,22,25,28,23,24,32
29,19,22,20,23,26,16,23,34,29,25,29,27,37,28,23,25,28,29,26,27,18,32,27,27
25,27,28,17,33,27,27,28,22,33,26,27,20,27,23,20,29,28,24,31,24,21,27,28,27
34,22,22,18,25,30,23,31,22,24,21,31,28,35,20,26,28,26,27,26,23,28,22,33,23
28,34,22,20,21,31,35,23,24,30,32,30,30,28,17,29,28,22,29,23,23,26,11,25,25
21,20,32,20,30,26,27,22,21,22,33,24,29,20,26,30,20,33,21,31,26,25,32,30,25
22,30,17,28,27,22,26,24,37,31,23,28,21,25,33,24,25,30,26,17,31,30,20,28,21
27,22,25,22,25,19,29,33,28,26,29,30,22,24,26,30,21,29,19,27,27,35,30,20,21
31,28,28,24,27,31,27,22,28,21,25,36,35,38,28,21,19,21,19,26,24,25,27,15,19
32,19,22,30,28,34,36,29,17,20,23,24,32,23,32,16,23,26,25,30,25,30,25,25,18
34,33,29,23,31,21,35,20,25,28,19,25,21,33,18,28,19,24,31,26,19,25,24,20,33
16,34,33,26,28,30,18,22,28,26,30,23,27,33,27,29,30,22,26,25,17,22,20,23,27
20,29,26,27,22,28,28,37,22,31,34,33,16,20,24,27,16,30,16,30,25,31,28,22,20
23,27,21,20,33,24,25,28,27,26,33,23,26,16,22,24,23,31,25,21,22,32,33,33,21
35,29,25,29,18,35,26,24,31,19,27,24,19,22,30,25,15,30,30,28,23,25,20,27,22
34,27,26,27,30,28,19,24,26,21,30,24,26,26,29,30,19,29,26,25,26,22,25,14,23
22,23,24,35,24,29,24,26,26,29,27,23,25,31,23,25,20,33,29,21,26,19,23,26,22
29,33,22,30,25,26,18,21,26,37,27,19,29,22,19,22,27,29,24,17,26,33,29,24,21
27,25,16,25,34,30,22,21,25,17,26,30,21,28,31,18,29,26,28,26,31,21,24,29,25
23,17,17,26,24,24,27,28,31,25,26,21,26,26,20,31,26,25,21,30,32,24,28,34,22
20,27,18,19,30,29,24,20,16,24,26,22,24,28,24,22,32,30,26,31,30,31,28,23,30
16,22,23,35,25,31,20,21,26,21,28,29,27,28,20,32,27,18,26,32,22,21,26,32,25
28,21,24,30,33,16,27,24,27,28,25,23,20,20,36,23,25,25,23,35,33,23,16,24,23
24,23,24,29,29,31,29,27,27,17,23,21,23,29,29,26,28,24,28,25,24,29,22,20,21
28,16,31,31,29,21,21,20,21,20,21,24,34,22,28,22,22,37,28,26,28,26,27,24,24
24,27,24,36,27,26,15,16,24,29,26,25,19,32,36,20,23,23,27,25,24,32,15,32,24
23,23,28,29,21,29,28,30,19,27,31,23,20,25,22,27,23,28,29,26,20,23,27,24,25
29,25,22,23,33,23,24,32,28,33,24,23,21,22,17,22,20,23,33,29,27,27,23,22,25
32,20,25,14,22,19,21,25,33,21,18,24,33,24,26,25,27,35,32,26,27,25,26,25,24
26,32,15,29,19,18,32,27,22,27,23,22,26,23,23,30,27,34,27,21,23,23,30,32,18
16,36,29,26,25,26,29,30,30,25,23,30,20,28,23,19,19,25,17,30,23,23,22,32,23
23,30,27,25,28,27,21,36,22,19,27,27,31,32,27,16,26,23,23,23,24,23,23,23,23
24,25,27,31,23,19,27,21,26,19,24,24,34,20,33,28,18,22,27,27,17,35,34,24,20
28,17,30,22,24,30,29,21,24,28,28,22,26,28,27,23,24,22,20,20,30,20,26,28,32
28,25,31,18,26,24,25,24,27,21,28,27,21,26,28,23,21,21,28,28,24,30,23,23,26
26,22,26,27,28,22,32,27,30,25,23,23,26,28,24,20,31,24,19,25,18,21,24,27,28
27,25,21,24,28,25,20,35,30,26,23,19,31,20,29,21,27,25,24,27,21,18,30,23,26
21,14,33,31,26,37,30,24,21,28,25,26,19,20,30,24,26,32,26,17,19,27,22,29,18
33,25,26,24,20,29,17,26,30,23,31,27,32,20,32,21,32,24,31,21,21,26,17,18,18
35,22,19,15,34,21,26,23,28,18,27,24,21,27,21,26,30,23,19,17,32,19,32,30,35
34,22,30,25,28,31,19,25,24,29,18,31,30,18,28,21,29,31,24,21,31,22,18,19,15
27,23,15,18,23,22,30,22,30,23,26,25,34,18,25,22,28,27,20,26,30,28,34,25,22
20,26,18,26,28,26,21,21,30,29,28,29,17,16,31,24,27,26,24,35,31,18,29,25,18
27,21,30,25,22,26,34,21,25,28,21,22,28,21,18,31,28,30,17,28,24,20,30,22,23
29,25,29,26,34,29,17,25,28,16,30,27,29,32,30,27,21,17,18,25,21,18,20,27,21
28,15,29,29,30,25,23,29,33,23,24,19,17,25,14,25,21,29,32,13,26,25,27,28,32
20,28,14,28,21,23,17,17,34,28,22,22,35,28,28,27,27,26,23,21,32,22,23,30,25
28,22,27,22,20,24,20,19,31,26,26,21,20,20,38,22,25,20,25,25,26,21,34,28,30
