33,26,26,25,25,24,33,23,28,35,23,28,26,27,28
23,23,29,24,25,29,29,28,18,39,36,27,28,20,28
26,20,28,25,29,29,28,24,27,23,36,24,28,21,36
29,22,29,30,34,23,24,28,33,27,25,29,17,29,23
24,31,17,32,37,21,27,27,23,29,23,23,30,24,31
25,26,27,25,29,25,32,25,29,33,28,16,27,25,26
32,21,32,24,27,34,30,29,23,20,24,20,28,29,24
30,29,24,21,26,27,27,22,46,20,22,19,28,36,20
15,29,25,29,23,25,28,30,23,36,33,25,27,24,22
21,21,27,28,23,26,21,28,28,33,29,34,28,19,28
24,23,31,25,23,30,28,29,27,23,25,20,26,24,33
19,19,30,24,22,30,26,23,32,26,21,30,29,27,32
24,33,25,30,25,22,30,19,31,20,25,32,19,26,26
25,21,23,32,22,32,29,25,21,27,25,31,27,22,25
27,26,22,26,30,25,18,31,28,26,27,27,23,26,25
24,28,21,22,34,25,29,16,20,26,25,27,26,26,37
24,28,28,25,29,16,29,22,27,29,27,24,20,35,23
20,19,31,28,24,23,24,22,25,36,12,38,29,24,29
22,25,26,36,33,30,27,18,23,24,26,17,26,25,26
25,30,22,17,21,30,26,26,25,19,37,25,35,18,25
20,23,20,22,27,34,25,23,29,33,21,31,25,19,29
29,23,34,25,18,28,31,28,25,29,24,22,16,24,24
24,24,36,27,24,31,22,23,23,24,25,15,28,33,21
20,28,16,40,21,30,28,27,26,22,22,22,24,32,21
33,30,23,30,23,29,21,24,17,30,20,15,24,26,34
21,23,27,19,27,26,24,24,24,23,35,27,25,31,20
17,24,23,19,20,30,24,34,28,23,27,30,23,26,27
31,21,16,31,21,19,34,33,21,22,17,20,33,30,26
16,22,24,40,24,23,27,31,24,18,27,24,31,25,19
21,21,27,26,19,31,36,28,29,21,20,21,29,30,15
21,28,26,19,19,28,24,21,37,25,20,24,27,27,27
32,28,21,22,14,21,26,21,25,25,31,25,31,28,22
14,23,23,28,24,25,22,24,25,30,28,26,30,30,20
25,25,27,32,31,22,27,16,24,14,24,20,26,23,35
28,18,28,21,32,27,29,18,25,31,17,20,23,26,27
23,25,21,25,31,24,18,23,26,33,28,22,21,19,30
35,29,25,26,24,24,24,19,25,20,26,25,25,19,21
23,17,30,28,15,17,25,30,24,24,24,28,26,20,33
22,24,22,19,21,24,21,18,36,31,31,16,29,20,29
20,33,24,17,21,29,27,16,28,24,28,23,17,30,24
22,19,19,21,23,20,37,27,25,31,24,24,21,27,21
24,34,22,31,20,18,35,20,27,26,24,17,10,26,25
19,25,19,24,27,24,15,21,25,26,25,27,25,20,33
19,19,21,29,17,26,24,27,16,18,41,23,24,20,28
18,24,24,27,24,24,26,23,21,26,27,19,24,23,21
25,21,21,30,25,22,18,23,19,27,26,24,26,19,21
24,20,29,23,21,27,21,15,20,20,18,33,15,29,26
27,19,26,16,18,29,23,20,26,27,24,21,25,22,17
22,27,24,31,26,20,22,16,26,11,23,23,25,24,20
21,21,24,23,29,18,22,12,22,23,20,18,25,26,18

