83,88,87,60,102,79,83,77,75,78
81,76,90,80,82,74,73,70,96,81
74,92,77,102,77,82,75,72,72,79
83,85,71,75,71,81,72,90,78,94
74,69,85,80,84,74,83,82,79,88
73,75,68,91,87,73,69,93,77,87
72,80,87,87,88,77,73,76,70,83
85,63,75,98,76,78,82,79,76,80
86,87,98,71,73,64,101,80,66,63
68,71,93,86,87,77,69,75,85,77
78,82,81,85,77,66,86,68,81,84
80,84,85,73,91,69,63,84,69,88
88,70,75,77,76,73,80,88,74,85
79,71,66,85,73,89,89,88,60,80
78,87,88,71,69,80,62,61,85,97
61,88,72,77,86,77,87,76,69,85
76,88,75,71,81,77,83,70,82,74
87,81,83,76,95,67,61,74,75,75
67,82,87,84,83,79,89,73,57,71
68,91,77,89,80,73,78,74,75,67
73,86,92,72,80,73,74,77,75,69
65,68,70,87,83,87,78,63,73,97
79,85,79,81,62,93,70,66,79,76
77,70,65,99,72,75,72,77,79,84
80,76,74,68,89,93,67,73,72,76
60,73,97,88,58,89,74,71,78,79
76,80,71,81,61,75,86,80,82,72
84,65,73,73,70,96,85,67,71,77
68,64,74,85,79,87,82,76,82,64
83,69,83,68,74,73,76,71,80,83
94,74,74,85,66,65,65,86,72,79
71,72,73,85,70,75,81,72,87,74
86,65,62,94,67,83,72,83,78,68
65,62,71,91,70,78,75,85,84,76
65,82,69,75,80,85,69,85,84,63
69,89,79,65,78,72,68,75,94,67
73,68,77,75,79,84,80,62,83,73
66,87,73,74,83,70,88,74,63,76
85,67,79,74,88,73,73,62,75,76
68,82,63,69,87,71,82,68,78,80
66,73,84,81,68,58,76,96,84,61
75,71,74,69,79,72,80,72,70,83
75,72,89,70,74,69,66,97,62,69
68,94,67,71,81,64,72,66,80,78
62,60,87,74,83,80,75,77,68,69
70,52,63,74,78,88,76,73,80,77
77,86,71,73,68,60,59,77,78,76
76,71,81,67,73,66,75,74,61,76
67,57,78,85,65,73,69,82,78,63
85,67,72,73,78,69,55,61,82,68

