26,20,28,25,29,29,28,24,27,29,36,24,35,21,36
24,31,23,32,37,21,27,27,23,37,23,26,30,24,31
25,26,33,33,31,25,32,25,29,33,28,16,27,25,27
37,26,26,25,25,24,33,23,28,35,23,28,26,27,28
23,23,29,24,25,29,29,28,21,39,36,32,28,20,28
29,22,29,31,34,23,24,28,33,27,28,33,17,29,23
27,21,27,28,23,26,21,28,28,33,29,39,28,19,28
19,19,30,24,22,30,26,28,32,26,27,30,29,27,32
24,33,25,35,25,22,36,19,31,20,25,32,20,26,26
15,29,25,29,23,25,28,30,23,36,33,29,27,24,22
32,21,32,24,27,34,30,29,23,20,24,20,28,29,24
30,29,24,21,26,27,27,22,46,20,22,19,28,36,20
25,25,31,28,24,23,24,22,25,36,12,38,29,24,29
27,34,22,26,30,25,18,31,28,26,27,27,23,26,25
20,28,16,45,21,34,28,27,26,22,22,22,30,32,21
25,21,23,32,22,32,29,25,21,33,25,31,27,22,25
21,28,27,19,27,26,24,24,24,23,37,27,25,31,29
24,28,21,22,34,25,34,16,20,26,25,27,26,26,37
24,23,31,25,23,30,28,29,27,23,25,20,26,24,33
22,27,26,36,33,30,27,18,23,29,26,17,26,25,26
29,23,37,25,18,28,31,28,32,29,24,22,16,24,24
24,28,28,29,29,16,29,22,27,29,27,24,20,35,23
17,24,23,19,20,30,24,34,28,23,34,30,23,26,33
23,28,21,32,31,24,18,23,26,33,28,22,21,27,30
25,30,22,17,21,30,26,26,25,19,37,25,40,18,25
21,21,31,31,19,31,36,28,29,21,20,21,29,30,15
24,24,36,27,24,31,22,23,23,27,25,15,28,33,21
35,37,25,26,30,24,24,19,25,20,26,25,25,19,21
20,23,20,22,27,34,25,23,29,33,21,31,25,19,29
16,22,24,40,24,23,27,31,24,18,27,29,31,25,19
22,32,22,19,21,24,21,18,41,31,34,16,29,20,29
33,30,23,30,23,29,21,24,17,30,20,15,24,26,34
21,28,26,19,19,28,24,21,37,30,20,24,27,27,27
14,23,23,28,24,25,22,24,25,30,28,26,30,30,26
32,28,21,22,14,21,26,21,25,25,34,25,33,28,22
25,25,27,34,31,22,27,16,24,14,24,20,26,23,38
31,21,16,31,21,19,34,33,21,22,17,20,33,30,26
20,33,24,17,21,29,30,16,28,24,28,23,17,33,31
28,18,28,21,32,27,29,18,25,31,17,20,23,26,27
22,19,19,21,23,24,37,27,25,31,24,24,21,27,21
23,17,30,28,15,17,25,30,24,24,24,28,26,20,33
24,34,22,35,20,18,35,20,27,26,24,17,10,26,25
19,25,19,24,27,24,15,21,25,26,25,27,25,20,33
18,24,24,30,24,24,26,23,21,26,27,19,24,23,21
19,19,21,29,17,26,24,27,16,18,41,23,24,20,28
25,21,21,30,25,26,18,23,19,27,26,24,26,19,21
27,19,26,16,18,29,23,20,26,27,24,21,30,22,17
24,20,33,23,21,27,21,15,20,20,18,33,15,29,26
22,27,24,31,26,20,22,16,26,11,23,23,25,24,20
21,21,24,23,29,18,22,12,22,23,20,18,25,26,18

