0,3,3,2,1,0,1,1,2,1,1,2,3,1,3,81,83,81,76,77,76,88,71,56,68,68,72,67,71,75,73,82,94,67,84,70,75,62,76,96,83,76,84,72,78,27,26,32,20,36,24,22,20,24,22,26,17,30,25,20,24,28,21,26,25,21,22,30,18,23,83,72,71,72,71,81,72,90,78,94,2,1,1,2,1,0,2,1,2,3,1,1,1,1,0,2,0,1,1,2,2,1,0,1,0,2,0,0,1,2,1,3,1,0,3,0,2,2,1,1,0,0,0,0,4,1,3,1,0,1,1,1,0,1,2,0,1,3,2,2,3,3,0,5,2,1,1,2,2,1,0,1,1,2,1,2,3,0,0,1
1,0,0,0,1,0,3,1,0,1,1,2,3,0,0,68,62,91,85,65,70,81,50,70,88,72,74,79,82,74,68,81,82,72,75,60,93,62,86,75,81,74,66,81,75,23,17,17,26,24,24,27,28,31,25,26,21,26,26,20,31,26,25,21,30,32,24,28,34,22,76,71,81,67,73,66,75,74,61,76,2,1,1,2,1,0,2,1,2,3,1,1,1,1,0,2,0,1,1,2,2,1,0,1,0,2,0,0,1,2,1,3,1,0,3,0,2,2,1,1,0,0,0,0,4,1,3,1,0,1,1,1,0,1,2,0,1,3,2,2,3,3,0,5,2,1,1,2,2,1,0,1,1,2,1,2,3,0,0,1
0,1,2,2,0,1,0,1,1,0,0,1,3,3,1,72,93,77,80,62,58,66,57,71,86,79,81,67,65,59,77,79,65,83,71,82,69,66,77,81,86,74,92,93,79,23,24,23,21,30,24,27,26,39,27,21,20,22,23,24,14,20,19,23,22,21,21,24,23,32,62,60,87,74,83,80,75,77,68,69,2,1,1,2,1,0,2,1,2,3,1,1,1,1,0,2,0,1,1,2,2,1,0,1,0,2,0,0,1,2,1,3,1,0,3,0,2,2,1,1,0,0,0,0,4,1,3,1,0,1,1,1,0,1,2,0,1,3,2,2,3,3,0,5,2,1,1,2,2,1,0,1,1,2,1,2,3,0,0,1
1,0,1,2,3,0,1,1,0,2,0,0,0,0,1,69,97,89,71,84,73,73,71,96,83,97,89,79,75,72,72,84,76,77,74,73,51,81,76,74,69,94,71,92,72,18,19,23,30,24,25,24,30,22,30,41,20,25,27,25,25,21,25,27,29,37,26,28,39,18,76,80,71,74,61,75,84,80,82,72,0,1,0,4,2,0,1,2,0,3,0,1,1,1,2,1,3,1,1,1,3,2,1,1,2,1,0,1,2,1,1,3,1,2,0,2,2,2,0,0,1,1,0,0,0,1,2,0,1,0,1,1,2,2,1,1,2,3,1,1,0,2,2,4,2,0,0,0,1,1,1,1,0,1,0,1,1,0,1,2
2,3,0,2,0,1,0,1,1,1,0,1,0,0,0,76,71,74,51,79,61,79,77,74,60,60,77,67,85,71,89,72,80,92,80,80,63,81,70,98,77,96,68,75,79,31,28,28,24,27,31,27,22,28,21,25,36,35,38,28,21,19,21,19,26,24,25,27,15,19,80,84,85,73,91,69,63,74,69,88,1,1,2,0,1,2,0,4,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,0,0,0,0,1,2,0,0,2,1,1,1,0,0,0,3,1,1,2,1,2,0,2,2,1,1,2,0,1,1,2,0,1,1,1,0,0,2,0,1,0,1,2,4,0,0,0,1,0,1,1,1,1,1,2,1,1
0,1,1,2,0,4,1,1,1,0,1,2,1,0,1,78,70,82,70,84,76,63,73,58,60,67,68,62,83,86,84,74,74,84,92,75,73,75,77,65,85,78,71,72,72,20,26,28,28,26,25,36,22,18,23,26,25,24,20,29,32,27,28,32,22,25,28,23,24,32,68,71,88,86,87,77,69,75,85,77,2,0,0,2,1,2,0,0,1,1,2,1,3,2,0,3,4,0,1,1,3,1,2,1,2,2,1,0,2,2,0,1,1,2,0,1,2,1,1,0,2,1,1,1,0,2,0,1,1,0,1,1,2,0,0,1,1,0,0,1,0,1,2,0,3,1,3,0,2,0,2,1,0,1,0,1,0,1,1,0
3,2,1,0,1,0,1,0,2,1,3,0,2,0,1,75,68,70,56,82,72,81,86,72,71,78,72,75,86,72,74,76,71,68,61,70,64,90,77,74,67,93,84,95,84,32,19,22,30,28,34,36,29,17,20,23,24,32,23,32,16,23,26,25,30,25,30,25,25,18,74,86,77,102,77,82,67,72,72,75,2,1,1,2,1,0,2,1,2,3,1,1,1,1,0,2,0,1,1,2,2,1,0,1,0,2,0,0,1,2,1,3,1,0,3,0,2,2,1,1,0,0,0,0,4,1,3,1,0,1,1,1,0,1,2,0,1,3,2,2,3,3,0,5,2,1,1,2,2,1,0,1,1,2,1,2,3,0,0,1
1,0,1,0,0,0,1,1,0,2,0,2,1,0,0,80,70,61,78,78,81,76,61,64,77,69,70,61,85,81,69,71,76,71,89,77,70,79,83,63,83,85,83,72,98,23,26,24,18,33,20,22,31,31,19,22,19,21,26,16,31,23,28,16,20,31,18,22,20,21,79,71,66,85,73,85,81,88,60,80,2,1,1,2,1,0,2,1,2,3,1,1,1,1,0,2,0,1,1,2,2,1,0,1,0,2,0,0,1,2,1,3,1,0,3,0,2,2,1,1,0,0,0,0,4,1,3,1,0,1,1,1,0,1,2,0,1,3,2,2,3,3,0,5,2,1,1,2,2,1,0,1,1,2,1,2,3,0,0,1
4,1,0,2,2,3,1,0,0,0,0,3,1,0,2,73,83,87,72,75,82,80,72,85,77,71,68,81,74,86,71,61,66,65,62,70,89,75,71,77,69,75,79,65,77,28,30,32,21,23,33,29,20,22,23,21,20,19,23,28,27,25,22,25,21,29,25,20,15,19,79,85,79,81,62,93,70,66,79,76,0,1,1,1,0,3,0,3,2,1,1,1,0,1,1,0,1,2,1,2,1,0,0,1,0,0,1,0,0,1,1,0,1,2,1,2,0,2,1,1,2,1,0,3,1,0,0,1,3,1,3,0,0,0,1,3,2,0,2,0,0,0,1,4,0,1,3,3,1,0,2,1,0,2,0,3,3,0,3,2
1,1,0,0,0,0,1,1,3,2,0,3,1,1,1,55,79,72,76,85,77,83,71,70,71,80,74,64,86,84,61,79,82,86,77,81,94,77,69,78,69,72,63,83,82,22,25,23,19,24,25,28,19,25,17,27,22,27,26,27,19,24,23,19,34,32,26,22,26,22,68,82,63,69,87,71,82,68,78,80,2,1,1,2,1,0,2,1,2,3,1,1,1,1,0,2,0,1,1,2,2,1,0,1,0,2,0,0,1,2,1,3,1,0,3,0,2,2,1,1,0,0,0,0,4,1,3,1,0,1,1,1,0,1,2,0,1,3,2,2,3,3,0,5,2,1,1,2,2,1,0,1,1,2,1,2,3,0,0,1
0,1,2,2,1,0,2,2,1,0,1,1,0,1,0,68,89,62,74,73,73,65,67,73,65,68,76,69,76,74,83,74,70,72,81,91,66,68,83,62,96,60,77,77,73,23,23,28,29,21,29,28,30,19,27,31,23,20,25,22,27,23,28,29,26,20,23,27,24,25,77,70,65,93,72,75,72,77,79,84,2,1,1,2,1,0,2,1,2,3,1,1,1,1,0,2,0,1,1,2,2,1,0,1,0,2,0,0,1,2,1,3,1,0,3,0,2,2,1,1,0,0,0,0,4,1,3,1,0,1,1,1,0,1,2,0,1,3,2,2,3,3,0,5,2,1,1,2,2,1,0,1,1,2,1,2,3,0,0,1
2,0,0,1,2,0,2,0,1,2,2,0,1,0,2,73,67,67,84,76,89,72,86,63,78,54,59,69,83,80,80,70,79,75,81,78,70,86,94,65,85,76,71,64,72,33,25,26,24,20,29,17,26,30,23,31,27,32,20,32,21,32,24,31,21,21,26,17,18,18,78,82,81,85,77,59,81,68,81,84,2,1,1,2,1,0,2,1,2,3,1,1,1,1,0,2,0,1,1,2,2,1,0,1,0,2,0,0,1,2,1,3,1,0,3,0,2,2,1,1,0,0,0,0,4,1,3,1,0,1,1,1,0,1,2,0,1,3,2,2,3,3,0,5,2,1,1,2,2,1,0,1,1,2,1,2,3,0,0,1
1,1,2,1,0,3,1,0,1,3,2,1,0,0,3,80,68,80,49,67,77,96,67,70,79,79,67,79,75,73,59,67,68,68,66,79,88,70,71,79,82,82,71,74,84,29,25,22,23,33,23,24,32,28,33,24,23,21,22,17,22,20,23,33,29,27,27,23,22,25,75,71,74,69,79,72,75,72,70,83,0,1,0,0,1,3,3,1,0,1,0,0,1,1,1,2,1,0,0,3,0,0,2,1,2,2,0,2,1,2,0,1,0,4,2,0,0,0,2,1,1,0,3,1,0,1,2,0,0,1,0,0,2,1,2,0,2,2,0,1,2,3,2,3,1,1,1,1,0,0,1,1,2,2,0,0,2,1,0,2
0,4,0,1,0,0,0,1,2,3,0,1,1,1,0,74,70,72,77,77,82,79,87,85,93,69,80,81,72,75,69,87,72,73,85,77,71,76,69,66,84,87,83,71,67,32,20,25,14,22,19,21,25,33,21,18,24,33,24,26,25,27,35,32,26,27,25,26,25,24,73,68,77,75,79,84,80,62,83,73,2,1,1,2,1,0,2,1,2,3,1,1,1,1,0,2,0,1,1,2,2,1,0,1,0,2,0,0,1,2,1,3,1,0,3,0,2,2,1,1,0,0,0,0,4,1,3,1,0,1,1,1,0,1,2,0,1,3,2,2,3,3,0,5,2,1,1,2,2,1,0,1,1,2,1,2,3,0,0,1
2,2,1,0,2,1,0,1,0,0,0,0,0,0,0,74,64,73,70,68,66,71,80,65,73,66,75,68,72,86,70,65,67,69,72,68,69,86,71,76,65,69,81,82,77,29,25,30,21,28,18,29,22,23,28,29,39,30,31,29,18,34,31,22,21,22,17,30,35,20,85,67,72,73,78,69,55,61,82,68,2,1,1,2,1,0,2,1,2,3,1,1,1,1,0,2,0,1,1,2,2,1,0,1,0,2,0,0,1,2,1,3,1,0,3,0,2,2,1,1,0,0,0,0,4,1,3,1,0,1,1,1,0,1,2,0,1,3,2,2,3,3,0,5,2,1,1,2,2,1,0,1,1,2,1,2,3,0,0,1
